chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
java/org/jfree/chart/renderer/xy/XYStepAreaRenderer.java,org.jfree.chart.renderer.xy.XYStepAreaRenderer,491.0,252.0,0.5132383,36.0,0.01425662
java/org/jfree/chart/ChartTheme.java,org.jfree.chart.ChartTheme,15.0,12.0,0.8,0.0,Infinity
java/org/jfree/chart/event/ChartChangeListener.java,org.jfree.chart.event.ChartChangeListener,15.0,12.0,0.8,0.0,Infinity
java/org/jfree/data/time/TimePeriodAnchor.java,org.jfree.data.time.TimePeriodAnchor,18.0,13.0,0.7222222,0.0,Infinity
java/org/jfree/chart/swing/editor/DefaultNumberAxisEditor.java,org.jfree.chart.swing.editor.DefaultNumberAxisEditor,95.0,19.0,0.2,11.0,0.018181818
java/org/jfree/chart/renderer/xy/CyclicXYItemRenderer.java,org.jfree.chart.renderer.xy.CyclicXYItemRenderer,382.0,159.0,0.41623038,14.0,0.029730741
java/org/jfree/chart/StandardChartTheme.java,org.jfree.chart.StandardChartTheme,1558.0,712.0,0.45699614,182.0,0.002510968
java/org/jfree/data/general/HeatMapDataset.java,org.jfree.data.general.HeatMapDataset,101.0,89.0,0.8811881,0.0,Infinity
java/org/jfree/chart/encoders/ImageEncoder.java,org.jfree.chart.encoders.ImageEncoder,50.0,42.0,0.84,0.0,Infinity
java/org/jfree/data/UnknownKeyException.java,org.jfree.data.UnknownKeyException,13.0,8.0,0.61538464,0.0,Infinity
java/org/jfree/chart/imagemap/ImageMapUtils.java,org.jfree.chart.imagemap.ImageMapUtils,164.0,80.0,0.4878049,20.0,0.024390245
java/org/jfree/data/xy/YInterval.java,org.jfree.data.xy.YInterval,81.0,42.0,0.5185185,9.0,0.057613168
java/org/jfree/chart/urls/PieURLGenerator.java,org.jfree.chart.urls.PieURLGenerator,27.0,24.0,0.8888889,0.0,Infinity
java/org/jfree/data/xy/XYIntervalSeries.java,org.jfree.data.xy.XYIntervalSeries,147.0,105.0,0.71428573,9.0,0.07936508
java/org/jfree/data/xy/YIntervalSeriesCollection.java,org.jfree.data.xy.YIntervalSeriesCollection,276.0,166.0,0.60144925,23.0,0.026149968
java/org/jfree/chart/renderer/NotOutlierException.java,org.jfree.chart.renderer.NotOutlierException,14.0,9.0,0.64285713,0.0,Infinity
java/org/jfree/chart/swing/CrosshairOverlay.java,org.jfree.chart.swing.CrosshairOverlay,468.0,142.0,0.30341882,68.0,0.0044620414
java/org/jfree/data/time/TimeSeriesTableModel.java,org.jfree.data.time.TimeSeriesTableModel,194.0,86.0,0.44329897,19.0,0.023331525
java/org/jfree/chart/plot/dial/DialTextAnnotation.java,org.jfree.chart.plot.dial.DialTextAnnotation,313.0,179.0,0.571885,28.0,0.020424465
java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,org.jfree.chart.plot.CombinedDomainCategoryPlot,536.0,227.0,0.42350745,61.0,0.0069427453
java/org/jfree/chart/ChartUtils.java,org.jfree.chart.ChartUtils,512.0,358.0,0.69921875,32.0,0.021850586
java/org/jfree/data/DomainOrder.java,org.jfree.data.DomainOrder,17.0,12.0,0.7058824,0.0,Infinity
java/org/jfree/data/flow/FlowDatasetUtils.java,org.jfree.data.flow.FlowDatasetUtils,160.0,70.0,0.4375,25.0,0.0175
java/org/jfree/data/resources/DataPackageResources.java,org.jfree.data.resources.DataPackageResources,18.0,11.0,0.6111111,1.0,0.6111111
java/org/jfree/chart/renderer/xy/XYShapeRenderer.java,org.jfree.chart.renderer.xy.XYShapeRenderer,491.0,268.0,0.5458248,44.0,0.01240511
java/org/jfree/chart/renderer/xy/XYAreaRenderer.java,org.jfree.chart.renderer.xy.XYAreaRenderer,572.0,247.0,0.4318182,40.0,0.0107954545
java/org/jfree/chart/plot/CenterTextMode.java,org.jfree.chart.plot.CenterTextMode,17.0,12.0,0.7058824,0.0,Infinity
java/org/jfree/chart/labels/PieToolTipGenerator.java,org.jfree.chart.labels.PieToolTipGenerator,17.0,14.0,0.8235294,0.0,Infinity
java/org/jfree/chart/plot/pie/AbstractPieLabelDistributor.java,org.jfree.chart.plot.pie.AbstractPieLabelDistributor,59.0,39.0,0.66101694,4.0,0.16525424
java/org/jfree/data/xy/IntervalXYDelegate.java,org.jfree.data.xy.IntervalXYDelegate,386.0,223.0,0.5777202,37.0,0.01561406
java/org/jfree/data/ItemKey.java,org.jfree.data.ItemKey,11.0,8.0,0.72727275,0.0,Infinity
java/org/jfree/chart/util/ShadowGenerator.java,org.jfree.chart.util.ShadowGenerator,31.0,26.0,0.83870965,0.0,Infinity
java/org/jfree/data/DefaultKeyedValues.java,org.jfree.data.DefaultKeyedValues,365.0,181.0,0.4958904,40.0,0.01239726
java/org/jfree/chart/renderer/RendererState.java,org.jfree.chart.renderer.RendererState,66.0,39.0,0.59090906,5.0,0.11818181
java/org/jfree/chart/swing/editor/ChartEditor.java,org.jfree.chart.swing.editor.ChartEditor,14.0,11.0,0.78571427,0.0,Infinity
java/org/jfree/chart/plot/MeterInterval.java,org.jfree.chart.plot.MeterInterval,159.0,86.0,0.5408805,15.0,0.0360587
